record_id,source,name,legal_name,dba,type,category,extraction_processing_flag,phone,email,website,street_address,city,state,zip_code,county,lat,lng,license_number,license_state,license_type,license_status,license_expiration,date_issued,usda_hemp_flag,delivery,sells_seeds,home_delivery,business_category,product_focus,is_medical,is_adult_use,ownership_type,social_equity_status,sos_entity_match,sos_formation_date,sos_registered_agent,sos_entity_type,sos_status,sos_website,epa_air_permit,epa_npdes_permit,epa_rcra_generator,epa_facility_name,epa_facility_address,fire_marshal_permit,fire_marshal_violations,tier2_filed,sec_public_company,sec_cik,sec_ticker,patent_count,instagram_url,google_place_id,sales_priority,data_quality_score,notes
US-0020289,CI_Community,Data Not Available,"130 Willow Creek OpCo, LLC","130 Willow Creek OpCo, LLC",,Cultivation -  Processor,PENDING,(858) 776-1298,Rob@peloruscg.Com,,Not Published,Data Not Available,CA,Data Not Available,Humboldt,,,CCL24-0000854,CA,Cultivation -  Processor,Active,11/10/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020290,CI_Community,Data Not Available,"1346 LA, LLC","1346 LA, LLC",,Cultivation -  Processor,PENDING,(510) 600-5033,Ryan@thcdesign.Com,,Not Published,Data Not Available,CA,Data Not Available,Los Angeles,,,CCL19-0002531,CA,Cultivation -  Processor,Expired,09/23/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020291,CI_Community,Data Not Available,20800 Spence Road LLC,20800 Spence Road LLC,,Cultivation -  Processor,PENDING,(831) 236-9283,Licensing@lowellfarms.Com,,Not Published,Data Not Available,CA,Data Not Available,Monterey,,,CCL20-0002424,CA,Cultivation -  Processor,Active,05/08/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020292,CI_Community,Data Not Available,"214 LEWIS ROAD II, LLC","214 LEWIS ROAD II, LLC",,Cultivation -  Processor,PENDING,(530) 624-5792,Jchase@kumbayafarms.Com,,Not Published,Data Not Available,CA,Data Not Available,Monterey,,,CCL20-0000755,CA,Cultivation -  Processor,Expired,11/04/2022 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020293,CI_Community,Data Not Available,"2351 Circadian Way, LLC","2351 Circadian Way, LLC",,Cultivation -  Processor,PENDING,(707) 757-7088,Ned@somarosafarms.Com,,Not Published,Data Not Available,CA,Data Not Available,Sonoma,,,CCL18-0000223,CA,Cultivation -  Processor,Expired,05/22/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020294,CI_Community,Data Not Available,"2CW Productions, INC","2CW Productions, INC",,Cultivation -  Processor,PENDING,(707) 757-7088,Ned@somarosafarms.Com,,Not Published,Data Not Available,CA,Data Not Available,Sonoma,,,CCL22-0000271,CA,Cultivation -  Processor,Surrendered,10/03/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020295,CI_Community,Data Not Available,"2CW Productions, Inc.","2CW Productions, Inc.",,Cultivation -  Processor,PENDING,(707) 928-8652,Ned@somarosafarms.Com,,Not Published,Data Not Available,CA,Data Not Available,Lake,,,CCL22-0001284,CA,Cultivation -  Processor,Active,06/28/2026 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020296,CI_Community,Data Not Available,301 Processors LLC,301 Processors LLC,,Cultivation -  Processor,PENDING,(805) 656-0310,Licensing9500@farmingfirst.Com,,Not Published,Data Not Available,CA,Data Not Available,Santa Barbara,,,CCL22-0001638,CA,Cultivation -  Processor,Expired,10/04/2025 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020297,CI_Community,Data Not Available,"360 Espinosa Road II, LLC","360 Espinosa Road II, LLC",,Cultivation -  Processor,PENDING,(626) 216-8068,Simon@cannabisstrategic.Com,,Not Published,Data Not Available,CA,Data Not Available,Monterey,,,CCL19-0003988,CA,Cultivation -  Processor,Surrendered,08/06/2023 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
US-0020298,CI_Community,Data Not Available,"5MIL Logistics, Inc dba Headwaters","5MIL Logistics, Inc dba Headwaters",,Cultivation -  Processor,PENDING,(310) 795-7436,Tristan@goheadwaters.Com,,Not Published,Data Not Available,CA,Data Not Available,Humboldt,,,CCL19-0000461,CA,Cultivation -  Processor,Expired,04/11/2022 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,ci_hash:|sos_searchable:Y|cat:CANNABIS|cat:GROWER|cat:EXTRACTION_PROCESSING
